pivot_id,display_name
USA_FL_Miami.Intl.AP.722020_TMY3.epw,Climate Zone 1A
SAU_Riyadh.404380_IWEC.epw,Climate Zone 1B
USA_TX_Houston-Bush.Intercontinental.AP.722430_TMY3.epw,Climate Zone 2A
USA_AZ_Phoenix-Sky.Harbor.Intl.AP.722780_TMY3.epw,Climate Zone 2B
USA_TN_Memphis.Intl.AP.723340_TMY3.epw,Climate Zone 3A
USA_TX_El.Paso.Intl.AP.722700_TMY3.epw,Climate Zone 3B
USA_CA_San.Francisco.Intl.AP.724940_TMY3.epw,Climate Zone 3C
USA_MD_Baltimore-Washington.Intl.AP.724060_TMY3.epw,Climate Zone 4A
USA_NM_Albuquerque.Intl.AP.723650_TMY3.epw,Climate Zone 4B
USA_OR_Salem-McNary.Field.726940_TMY3.epw,Climate Zone 4C
USA_IL_Chicago-Midway.AP.725340_TMY3.epw,Climate Zone 5A
USA_ID_Boise.Air.Terminal.726810_TMY3.epw,Climate Zone 5B
CAN_BC_Vancouver.718920_CWEC.epw,Climate Zone 5C
USA_VT_Burlington.Intl.AP.726170_TMY3.epw,Climate Zone 6A
USA_MT_Helena.Rgnl.AP.727720_TMY3.epw,Climate Zone 6B
USA_MN_Duluth.Intl.AP.727450_TMY3.epw,Climate Zone 7
USA_AK_Fairbanks.Intl.AP.702610_TMY3.epw,Climate Zone 8
